Fullstate,State,Type,Bill Number,Year,Elected,MoreDefined,Description,Last Action,curbing,RichardLastAction,Richard Description,Date Signed,Unsure,Very interesting,Notes,election,judicial,governor,lower,upper,less,more,outside,how_much_less,how_much_more,distance_closest_branch,Moralistic,Traditionalistic,RepublicanLegslature,SplitLegislature,Culture,legislativeControl,unified,court_gov_dist,court_lower_dist,court_upper_dist,curbs,elected,partisan,nonpartisan,retention,elected_ideology_gov,elected_ideology_upper,elected_ideology_lower,partisan_ideology_gov,partisan_ideology_upper,partisan_ideology_lower,nonpartisan_ideology_gov,nonpartisan_ideology_upper,nonpartisan_ideology_lower,retention_ideology_gov,retention_ideology_upper,retention_ideology_lower,Professionalization
Alaska,AK,Other,HB 411,2008,Elected,Retention,Permits Chief Justice to introduce measures to the House or Senate Rules Committees. (Change in law),In House State Affairs committee,0,Introduced,,,,,,AK2008,-0.147954524,,0.119,-0.113,1,,1,0.034954524,0,0.034954524,0,0,0,1,Individualistic,0,0,,0.26695452399999997,0.034954524,1,1,0,0,1,,0.034954524,0.26695452399999997,,0,0,,0,0,,0.034954524,0.26695452399999997,4
Alaska,AK,Salary & Budget,SB 30,2009,Elected,Retention,"Requires courts and all state agencies create the necessary strategies, measures, and targets to ensure it complies with their mission statement and achieves the desired results. Provides that the judicial branch ""will be held accountable by the legislature for their actions, including compliance with the recommendations of legislative audits as directed by the legislature.""",Died when legislature adjourned 3/19/09.,1,Introduced,,,,1,,AK2009,0.112679255,,0.119,-0.113,0,,0,0,0,0,0,0,0,1,Individualistic,0,0,,0.006320744999999989,0.22567925500000002,1,1,0,0,1,,0.22567925500000002,0.006320744999999989,,0,0,,0,0,,0.22567925500000002,0.006320744999999989,4
Alaska,AK,Salary & Budget,SB 30,2010,Elected,Retention,"Requires courts and all state agencies create the necessary strategies, measures, and targets to ensure it complies with their mission statement and achieves the desired results. Provides that the judicial branch ""will be held accountable by the legislature for their actions, including compliance with the recommendations of legislative audits as directed by the legislature.""",Died in committee.,1,Introduced,,,,,,AK2010,-0.183327537,0.803,0.145,-0.164,1,0,1,0.019327537,0,0.019327537,0,0,0,1,Individualistic,0,0,0.9863275370000001,0.328327537,0.019327537000000006,1,1,0,0,1,0.9863275370000001,0.019327537000000006,0.328327537,0,0,0,0,0,0,0.9863275370000001,0.019327537000000006,0.328327537,4
Alaska,AK,Jurisdiction,HB 88,2011,Elected,Retention,"Prohibits a court, arbitrator, mediator, administrative agency, or enforcement authority from applying a foreign law if application of the foreign law would violate an individuals right guaranteed by the Constitution of the State of Alaska or the United States Constitution.",Approved by House Judiciary Committee 4/4/11. Carried over into 2012 session.,1,Introduced,,,,,,AK2011,-0.183327537,0.803,0.145,-0.164,1,0,1,0.019327537,0,0.019327537,0,0,0,1,Individualistic,0,0,0.9863275370000001,0.328327537,0.019327537000000006,1,1,0,0,1,0.9863275370000001,0.019327537000000006,0.328327537,0,0,0,0,0,0,0.9863275370000001,0.019327537000000006,0.328327537,4
Alaska,AK,Salary & Budget,HB 299,2012,Elected,Retention,Authorizes civil legal services fund to receive up to 25% of the filing fees received by court system during prior fiscal year.,Approved by House Judiciary Committee 2/13/12.,0,Introduced,,,,,,AK2012,-0.183327537,,0.2345,-0.051,1,,1,0.132327537,0,0.132327537,0,0,0,1,Individualistic,0,0,,0.41782753699999997,0.13232753700000002,3,1,0,0,1,,0.13232753700000002,0.41782753699999997,,0,0,,0,0,,0.13232753700000002,0.41782753699999997,4
Alaska,AK,Salary & Budget,HB 100,2013,Elected,Retention,"Provides geographic cost-of-living adjustment applies to only first $100,000 of judge's salary and adjustment to equal that given to non-judges in judicial branch.",In House Judiciary Committee.,1,Introduced,,,,,,AK2013,-0.183327537,,0.2345,-0.051,1,,1,0.132327537,0,0.132327537,0,0,0,1,Individualistic,0,0,,0.41782753699999997,0.13232753700000002,4,1,0,0,1,,0.13232753700000002,0.41782753699999997,,0,0,,0,0,,0.13232753700000002,0.41782753699999997,4
Alaska,AK,Salary & Budget,HB 100,2014,Elected,Retention,"Provides geographic cost-of-living adjustment applies to only first $100,000 of judge's salary and adjustment to equal that given to non-judges in judicial branch.",In House Judiciary Committee. Carried over from 2013 session.,1,Introduced,,,,,,AK2014,-0.183327537,,0.2345,-0.051,1,,1,0.132327537,0,0.132327537,0,0,1,0,Individualistic,Democratic,1,,0.41782753699999997,0.13232753700000002,3,1,0,0,1,,0.13232753700000002,0.41782753699999997,,0,0,,0,0,,0.13232753700000002,0.41782753699999997,4
Alaska,AK,Selection,SJR 3 (Constitutional Amendment),2015,Elected,Retention,Expands Judicial Council from 7 to 10. Provides governor to name majority of council members (6 out of 10). Requires all members of Council be confirmed by legislature. Provides quorum of 7 to take any action.,Approved by Senate State Affairs Committee 3/25/15.,0,Introduced,,,,,,AK2015,-0.183327537,,0.2345,-0.051,1,,1,0.132327537,0,0.132327537,0,0,1,0,Individualistic,Democratic,1,,0.41782753699999997,0.13232753700000002,0,1,0,0,1,,0.13232753700000002,0.41782753699999997,,0,0,,0,0,,0.13232753700000002,0.41782753699999997,4
Alaska,AK,Other,HB 11,2016,Elected,Retention,Requires courts remove from public website with 60 days any criminal cases in which a person is acquitted and/or the charges as dismissed.,Approved with Senate amendment by full Senate 1/27/16. To House to concur with amendment.,0,Passed one chamber,,,,,,AK2016,-0.183327537,,0.2345,-0.051,1,,1,0.132327537,0,0.132327537,0,0,1,0,Individualistic,Democratic,1,,0.41782753699999997,0.13232753700000002,0,1,0,0,1,,0.13232753700000002,0.41782753699999997,,0,0,,0,0,,0.13232753700000002,0.41782753699999997,4
Alaska,AK,Other,HB 251,2017,Elected,Retention,"Expands statutory definition of ""malfeasance"" for which a judge may be impeached to include a judge ""exercising legislative power."" Provides provision not subject to judicial review.",In House Community and Regional Affairs Committee.,1,Introduced,,,,,,AK2017,-0.183327537,,0.2345,-0.051,1,,1,0.132327537,0,0.132327537,0,0,1,0,Individualistic,Democratic,1,,0.41782753699999997,0.13232753700000002,1,1,0,0,1,,0.13232753700000002,0.41782753699999997,,0,0,,0,0,,0.13232753700000002,0.41782753699999997,4
