Fullstate,State,Type,Bill Number,Year,Elected,MoreDefined,Description,Last Action,curbing,RichardLastAction,Richard Description,Date Signed,Unsure,Very interesting,Notes,election,judicial,governor,lower,upper,less,more,outside,how_much_less,how_much_more,distance_closest_branch
Alabama,AL,Selection,HB 1 (Special Session),2010,Elected,Partisan,"Imposes contributions on judicial and other races for PACs, corporations, and individuals.",Died in committee.,1,Introduced,,,,,,AL2010,0.704422769,0.187,0.302,0.3,0,1,1,0,0.402422769,0.402422769
Alabama,AL,Salary & Budget,HB 10,2015,Elected,Partisan,"Provides court costs and docket fees assessed by any authority other than the Constitution of Alabama of 1901 are to revert to General Fund. Provides that a court may not waive, set aside, or otherwise fail to collect any court costs or docket fees previously authorized and now subject to this act.",In House Judiciary Committee.,1,Introduced,,,,,,AL2015,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Other,HB 11 (Special Session),2010,Elected,Partisan,"Expands lobbying to include ""promoting or attempting to influence the award of a contract or grant by the executive, legislative, or judicial branch"".",Signed into law by Governor 12/15/10.,0,Enacted,General Government Administration,2010-12-15T00:00:00Z,,,,AL2010,0.704422769,0.187,0.302,0.3,0,1,1,0,0.402422769,0.402422769
Alabama,AL,Other,HB 114,2013,Elected,Partisan,Provides courts authorized to contract with certain private entities to provide probation services for certain offenses.,Approved with amendments by House Public Safety and Homeland Security Committee 2/28/13.,0,Introduced,Jurisdiction,,,,,AL2013,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Jurisdiction,HB 116,2014,Elected,Partisan,"Grants district court in cases up to $25,000 (currently $10,000). Grants circuit court exclusive jurisdiction in cases over $25,000 (currently $10,000).",In House Judiciary Committee.,0,Introduced,,,,,,AL2014,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 126,2009,Elected,Partisan,"Provides for the nonpartisan election of candidates for state appellate judicial office and a corresponding special ballot for such elections. Provides that a reelection would be via retention election, rather than a contested election. Creates  a judicial evaluation commission to evaluate performance of a state appellate judicial officer standing for reelection in a retention election and to recommend retention or not.",Died when legislature adjourned 5/15/09.,0,Introduced,,,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
Alabama,AL,Selection,HB 127,2009,Elected,Partisan,Provides for the nonpartisan election of candidates for state appellate judicial office and a corresponding special ballot for such elections.,Died when legislature adjourned 5/15/09.,1,Introduced,,,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
Alabama,AL,Rule Making Authority,HB 14,2012,Elected,Partisan,ORIGINAL: Authorizes the presiding judge of a circuit court to authorize motion hearings in civil matters to be conducted by telephone or other audio-video telecommunications means. AMENDED: Expands use to district courts and criminal matters as well.,Approved by full Senate 5/16/12. To Governor for approval.,0,Passed Legislature,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Jurisdiction,HB 147,2012,Elected,Partisan,"Grants circuit court exclusive jurisdiction in cases over $25,000 (currently $10,000). Grants district court concurrent jurisdiction with circuit court in cases up to $25,000 (currently $10,000).",In House Judiciary Committee.,0,Introduced,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 15 (Constitutional Amendment),2009,Elected,Partisan,Requires circuit judges and district judges in a county in which a Class 2 municipality is located to be elected from districts.,Died when legislature adjourned 5/15/09.,0,Introduced,,,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
Alabama,AL,Qualification & Terms,HB 15 (Constitutional Amendment),2015,Elected,Partisan,Increase maximum age for election or appointment to judicial office to 75 years.,Approved by Senate Finance and General Taxation Fund Committee 5/28/2015.,1,Introduced,,,,,,AL2015,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Jurisdiction,HB 151,2016,Elected,Partisan,"Increases District Court jurisdiction to $15,000.",In House Judiciary Committee.,1,Introduced,,,,,,AL2016,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Qualification & Terms,HB 151,2009,Elected,Partisan,"Allows any circuit court judge who had completed the years of service for supernumerary status on September 18, 1973, to take supernumerary status upon reaching the prescribed age in effect on September 18, 1973.",Signed into law by Governor 5/15/09.,0,Enacted,,2009-05-15T00:00:00Z,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
Alabama,AL,Other,HB 155,2011,Elected,Partisan,Creates crime of threatening harm or violence against a judicial system officer or employee or his or her immediate family. Allows the death penalty to be imposed upon a person who commits murder of a judicial system officer or employee or his or her immediate family under certain conditions. Includes threatening harm or violence against a judicial system officer or employee as an aggravating circumstance relating to a capital offense.,In House Committee on Judiciary.,0,Introduced,Protection of judges,,,,,AL2011,0.758027863,0.187,0.302,0.3,0,1,1,0,0.456027863,0.456027863
